Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público El Quijote,Colegios públicos,CALLE FUENTIDUEÑA 4,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público El Sol,Colegios públicos,AVENIDA CANILLEJAS A VICALVARO 82,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Emilia Pardo Bazán,Colegios públicos,CALLE VENTORRILLO 14,Ribera de Curtidores,Calle Ribera de Curtidores nº 28
Colegio Público Ermita del Santo,Colegios públicos,PASEO ERMITA DEL SANTO 18,Ermita Santo,Paseo de la Ermita del Santo nº 48
Colegio Público Escuelas Aguirre,Colegios públicos,CALLE PIO BAROJA 4,Pío Baroja,Calle Pío Baroja nº 10
Colegio Público Escuelas Bosque,Colegios públicos,AVENIDA SANTO ANGEL DE LA GUARDA 4,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Esperanza,Colegios públicos,CALLE ANDORRA 12,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Eugenio María de Hostos,Colegios públicos,CALLE VALDEVARNES 26,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Felipe II,Colegios públicos,AVENIDA ASTURIAS 70,Remonta,Calle Azucenas nº 1
Colegio Público Fernando el Católico,Colegios públicos,CALLE FERNANDO EL CATOLICO 16,Fernando el Católico,Calle Fernando el Católico nº 19
Colegio Público Fernández de Moratín,Colegios públicos,AVENIDA VALLADOLID 2,Paseo de Moret,Paseo de Moret nº 11
Colegio Público Filósofo Séneca,Colegios públicos,CALLE SANTA ADELA 21,Pío XII,Avenida Pío XII nº 3
Colegio Público Fontarrón,Colegios públicos,CALLE ARROYO FONTARRON 24,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Francisco Arranz,Colegios públicos,CALLE SONDICA 2,Caramuel,Calle Caramuel nº 51
Colegio Público Francisco Fatóu,Colegios públicos,CAMINO SUERTE 23,Pavones,Calle Hacienda de Pavones nº 342
